closing_price,daily_high,daily_low,date_text,open_price
"1,303.53","1,306.58","1,298.53",3/18/2019,"1,302.33"
"1,302.13","1,302.93","1,301.38",3/17/2019,"1,301.38"
"1,301.38","1,306.33","1,294.23",3/15/2019,"1,296.33"
"1,296.53","1,310.48","1,293.58",3/14/2019,"1,309.93"
"1,309.83","1,313.38","1,301.03",3/13/2019,"1,301.03"
"1,301.08","1,307.88","1,292.23",3/12/2019,"1,293.23"
"1,293.23","1,299.13","1,290.68",3/11/2019,"1,297.03"
"1,296.68","1,299.28","1,296.33",3/10/2019,"1,299.28"
"1,299.28","1,300.73","1,285.33",3/8/2019,"1,285.93"
"1,280.13","1,288.83","1,280.13",3/7/2019,"1,286.88"
"1,286.58","1,290.83","1,283.83",3/6/2019,"1,287.48"
"1,287.78","1,289.53","1,281.83",3/5/2019,"1,287.08"
"1,291.88","1,297.08","1,283.33",3/4/2019,"1,295.58"
"1,292.78","1,292.78","1,292.78",3/3/2019,"1,292.78"
"1,292.78","1,315.13","1,290.38",3/1/2019,"1,314.48"
"1,313.58","1,327.13","1,312.83",2/28/2019,"1,320.18"
"1,319.98","1,329.93","1,317.13",2/27/2019,"1,329.28"
"1,328.93","1,330.23","1,323.73",2/26/2019,"1,327.48"
"1,326.73","1,332.48","1,325.73",2/25/2019,"1,327.78"
"1,327.63","1,327.63","1,327.63",2/24/2019,"1,327.63"
"1,327.63","1,333.03","1,322.08",2/22/2019,"1,324.48"
"1,323.28","1,341.28","1,322.73",2/21/2019,"1,339.23"
"1,336.73","1,346.73","1,336.73",2/20/2019,"1,340.13"
"1,322.63","1,341.73","1,322.63",2/19/2019,"1,326.35"
"1,336.88","1,336.88","1,320.83",2/18/2019,"1,321.63"
"1,323.38","1,323.38","1,323.38",2/17/2019,"1,323.38"
"1,323.38","1,323.38","1,311.53",2/15/2019,"1,312.78"
"1,305.93","1,314.33","1,303.33",2/14/2019,"1,306.73"
"1,304.13","1,317.78","1,304.13",2/13/2019,"1,311.33"
"1,310.73","1,314.73","1,306.63",2/12/2019,"1,307.98"
"1,308.13","1,314.83","1,303.98",2/11/2019,"1,313.68"
"1,314.93","1,314.93","1,314.93",2/10/2019,"1,314.93"
"1,314.93","1,315.73","1,308.03",2/8/2019,"1,310.18"
"1,300.13","1,311.88","1,300.13",2/7/2019,"1,307.73"
"1,306.58","1,315.93","1,305.83",2/6/2019,"1,314.83"
"1,322.38","1,322.38","1,310.83",2/5/2019,"1,312.03"
"1,310.13","1,318.28","1,309.13",2/4/2019,"1,318.28"
"1,318.63","1,318.63","1,318.63",2/3/2019,"1,318.63"
"1,318.63","1,323.33","1,316.38",2/1/2019,"1,321.03"
"1,321.03","1,326.28","1,317.68",1/31/2019,"1,320.48"
"1,319.78","1,323.13","1,309.63",1/30/2019,"1,311.68"
"1,312.18","1,312.18","1,302.83",1/29/2019,"1,303.43"
"1,303.58","1,304.43","1,297.88",1/28/2019,"1,302.43"
"1,309.88","1,309.88","1,309.88",1/27/2019,"1,309.88"
"1,309.88","1,309.88","1,280.08",1/25/2019,"1,280.83"
"1,281.13","1,284.73","1,277.18",1/24/2019,"1,282.88"
"1,282.73","1,286.48","1,279.03",1/23/2019,"1,284.98"
"1,285.18","1,285.48","1,277.58",1/22/2019,"1,280.13"
"1,276.03","1,283.63","1,275.93",1/21/2019,"1,282.88"
"1,281.23","1,281.23","1,281.23",1/20/2019,"1,281.23"
"1,281.23","1,292.50","1,280.75",1/18/2019,"1,292.40"
"1,291.95","1,295.40","1,289.05",1/17/2019,"1,293.90"
"1,293.55","1,295.00","1,288.00",1/16/2019,"1,289.80"
"1,276.25","1,294.60","1,276.25",1/15/2019,"1,292.60"
"1,291.55","1,295.80","1,288.05",1/14/2019,"1,288.15"
"1,291.75","1,291.75","1,291.75",1/13/2019,"1,291.75"
"1,287.55","1,295.20","1,286.90",1/11/2019,"1,286.90"
"1,286.25","1,297.05","1,286.25",1/10/2019,"1,293.20"
"1,293.95","1,293.95","1,280.35",1/9/2019,"1,284.80"
"1,285.55","1,290.20","1,279.90",1/8/2019,"1,289.40"
"1,289.55","1,295.00","1,282.80",1/7/2019,"1,286.05"
"1,284.95","1,284.95","1,284.95",1/6/2019,"1,284.95"
"1,284.95","1,298.35","1,276.90",1/4/2019,"1,293.90"
"1,294.05","1,294.70","1,285.20",1/3/2019,"1,287.70"
"1,284.55","1,288.60","1,278.90",1/2/2019,"1,281.60"
"1,279.45","1,284.10","1,277.50",12/31/2018,"1,280.10"
"1,280.75","1,280.75","1,280.75",12/30/2018,"1,280.75"
"1,280.75","1,281.90","1,274.40",12/28/2018,"1,275.40"
"1,275.75","1,284.75","1,266.85",12/27/2018,"1,267.85"
"1,267.05","1,279.10","1,263.75",12/26/2018,"1,270.75"
"1,270.23","1,270.23","1,270.23",12/25/2018,"1,270.23"
"1,269.13","1,272.83","1,258.13",12/24/2018,"1,258.68"
"1,251.98","1,251.98","1,251.98",12/23/2018,"1,251.98"
"1,251.98","1,262.73","1,251.93",12/21/2018,"1,260.83"
"1,266.88","1,266.88","1,242.93",12/20/2018,"1,244.43"
"1,243.13","1,258.13","1,241.93",12/19/2018,"1,250.08"
"1,249.33","1,250.33","1,245.18",12/18/2018,"1,245.73"
"1,245.88","1,248.13","1,234.68",12/17/2018,"1,241.48"
"1,238.43","1,238.43","1,238.43",12/16/2018,"1,238.43"
"1,238.43","1,243.08","1,233.08",12/14/2018,"1,242.03"
"1,241.88","1,246.83","1,240.48",12/13/2018,"1,246.18"
"1,239.83","1,247.28","1,239.83",12/12/2018,"1,243.33"
"1,242.53","1,249.53","1,241.18",12/11/2018,"1,245.13"
"1,244.33","1,250.78","1,241.88",12/10/2018,"1,250.48"
"1,248.68","1,248.68","1,248.68",12/9/2018,"1,248.68"
"1,248.68","1,250.13","1,237.48",12/7/2018,"1,238.03"
"1,238.18","1,244.23","1,234.98",12/6/2018,"1,238.23"
"1,232.83","1,239.33","1,232.83",12/5/2018,"1,238.98"
"1,238.63","1,241.93","1,230.63",12/4/2018,"1,230.83"
"1,237.38","1,237.38","1,221.43",12/3/2018,"1,223.13"
"1,218.98","1,218.98","1,218.98",12/2/2018,"1,218.98"
"1,218.98","1,225.63","1,216.93",11/30/2018,"1,224.33"
"1,224.48","1,228.98","1,220.53",11/29/2018,"1,220.73"
"1,221.18","1,225.38","1,211.38",11/28/2018,"1,212.13"
"1,231.88","1,231.88","1,212.08",11/27/2018,"1,222.53"
"1,231.88","1,231.88","1,221.83",11/26/2018,"1,223.68"
"1,227.63","1,227.63","1,227.63",11/25/2018,"1,227.63"
"1,227.63","1,228.63","1,220.63",11/23/2018,"1,227.08"
"1,229.50","1,229.50","1,225.03",11/22/2018,"1,225.53"
"1,226.08","1,230.13","1,219.88",11/21/2018,"1,222.03"
"1,221.58","1,228.43","1,220.23",11/20/2018,"1,224.08"
"1,233.88","1,233.88","1,218.23",11/19/2018,"1,222.08"
"1,221.23","1,221.23","1,221.23",11/18/2018,"1,221.23"
"1,221.23","1,225.13","1,213.33",11/16/2018,"1,213.43"
"1,213.38","1,216.03","1,208.28",11/15/2018,"1,210.93"
"1,214.73","1,216.03","1,197.83",11/14/2018,"1,202.88"
"1,202.38","1,205.18","1,196.63",11/13/2018,"1,201.38"
"1,200.13","1,211.48","1,200.13",11/12/2018,"1,209.43"
"1,209.73","1,209.73","1,209.73",11/11/2018,"1,209.73"
"1,209.73","1,223.58","1,206.93",11/9/2018,"1,223.48"
"1,223.68","1,227.08","1,220.43",11/8/2018,"1,226.68"
"1,224.83","1,235.93","1,223.48",11/7/2018,"1,227.33"
"1,226.98","1,235.93","1,223.78",11/6/2018,"1,231.53"
"1,231.63","1,235.03","1,227.03",11/5/2018,"1,233.38"
"1,246.88","1,246.88","1,246.88",11/4/2018,"1,246.88"
"1,233.08","1,236.33","1,230.33",11/2/2018,"1,234.23"
"1,234.13","1,237.33","1,215.48",11/1/2018,"1,215.48"
"1,215.33","1,223.13","1,212.18",10/31/2018,"1,222.58"
"1,222.73","1,230.68","1,220.08",10/30/2018,"1,229.43"
"1,230.18","1,235.38","1,221.23",10/29/2018,"1,233.23"
"1,233.48","1,234.93","1,223.53",10/28/2018,"1,223.53"
"1,223.53","1,242.98","1,223.53",10/26/2018,"1,232.33"
"1,223.53","1,239.23","1,223.53",10/25/2018,"1,233.98"
"1,234.68","1,234.78","1,225.93",10/24/2018,"1,230.98"
"1,241.88","1,241.88","1,221.83",10/23/2018,"1,222.28"
"1,223.53","1,229.63","1,220.33",10/22/2018,"1,228.23"
"1,226.88","1,226.88","1,226.88",10/21/2018,"1,226.88"
"1,226.88","1,230.63","1,223.33",10/19/2018,"1,225.68"
"1,230.18","1,230.18","1,218.78",10/18/2018,"1,222.28"
"1,221.33","1,229.53","1,220.78",10/17/2018,"1,225.03"
"1,224.43","1,232.48","1,223.73",10/16/2018,"1,227.48"
"1,234.88","1,234.88","1,218.08",10/15/2018,"1,218.08"
"1,217.93","1,217.93","1,217.93",10/14/2018,"1,217.93"
"1,217.93","1,223.83","1,216.03",10/12/2018,"1,223.58"
"1,227.88","1,227.88","1,191.43",10/11/2018,"1,194.38"
"1,194.33","1,194.83","1,185.58",10/10/2018,"1,189.63"
"1,177.63","1,191.88","1,177.63",10/9/2018,"1,188.38"
"1,196.88","1,197.88","1,184.18",10/8/2018,"1,197.50"
"1,202.88","1,202.88","1,202.88",10/7/2018,"1,202.88"
"1,202.88","1,205.73","1,197.38",10/5/2018,"1,199.88"
"1,199.68","1,206.63","1,196.13",10/4/2018,"1,198.08"
"1,197.18","1,208.33","1,196.93",10/3/2018,"1,204.08"
"1,180.13","1,208.08","1,180.13",10/2/2018,"1,188.88"
"1,212.88","1,212.88","1,184.73",10/1/2018,"1,192.13"
"1,188.38","1,188.38","1,188.38",9/30/2018,"1,188.38"
"1,188.38","1,193.53","1,181.13",9/28/2018,"1,183.58"
"1,181.33","1,198.68","1,181.33",9/27/2018,"1,195.08"
"1,200.88","1,202.53","1,190.83",9/26/2018,"1,201.58"
"1,201.33","1,203.23","1,197.23",9/25/2018,"1,199.13"
"1,195.23","1,204.08","1,194.63",9/24/2018,"1,195.38"
"1,199.63","1,199.63","1,199.63",9/23/2018,"1,199.63"
